vertices,aristas,prim1,prim2pq,kruskal
16000,16384,5210636400,27451100,1583898000
16000,262144,7046390700,162142700,2512452300
16000,4194304,8726175000,999727700,5824696500
16000,65536,6684572300,45252800,1847933700
17000,1048576,8725496400,286930000,3179079700
17000,16999,1500,600,13400
17000,262144,7369339900,130137500,2192153700
17000,4194304,9280950800,909508000,5029867600
17000,65536,7850940600,48575900,2094290800
18000,1048576,9503899400,285038300,3187227300
18000,17999,1500,900,800
18000,262144,8115434200,113811800,2414801900
18000,4194304,10410887100,1013002000,5486901000
18000,65536,8112712700,45924400,2338486400
19000,1048576,10011276800,357962300,3288131600
19000,18999,700,900,600
19000,262144,8811005800,116029900,2648609000
19000,4194304,11104129900,1042273000,6079138100
19000,65536,8133664000,52103600,2529786500
20000,1048576,10979829600,247392200,3544026600
20000,19999,1400,900,700
20000,262144,9666541100,129029400,2885504300
20000,4194304,11767377000,955922800,6069638000
20000,65536,9674552800,49585100,2760038900
2000,1048576,229319600,155860400,381434200
2000,16384,95097800,6272900,30090700
2000,1999000,339176200,370722900,782023200
2000,1999,1200,800,1000
2000,262144,183114200,76948800,187532100
2000,4096,74003400,2101200,20281600
2000,65536,118692100,21613400,62121700
2,1,1600,1300,500
3000,1048576,490146200,246679200,591220600
3000,16384,195886800,8369700,53369900
3000,262144,322063700,81814000,218733700
3000,2999,1300,700,700
3000,3000000,595483900,514951700,1242179700
3000,4096,143715200,2559400,37119600
3000,65536,239113400,24337000,93479200
3,2,900,800,800
4000,1048576,649657300,158382300,523931400
4000,16384,382105700,8705400,97199700
4000,262144,510160300,59012600,213921300
4000,3999,900,900,800
4000,4000000,1080901600,776809200,1804148000
4000,4096,251622700,2797300,67279000
4000,65536,432035400,24362700,132374000
4,3,900,500,800
4,5,7800,6800,5800
4,6,5800,7000,6400
5000,1048576,919363500,220141000,640392600
5000,16384,557763500,11361800,144589400
5000,262144,683550400,111694400,255892000
5000,4194304,1373776800,1004883400,1873063700
5000,4999,1100,900,1000
5000,5000000,1487418600,1163124600,2230625300
5000,65536,644297700,29455400,205036100
5,10,8600,3700,6000
6000,1048576,1185361000,184378600,649564200
6000,16384,764689700,9541500,199244000
6000,262144,1025056600,206335400,364930300
6000,4194304,1823315600,813903800,2075879500
6000,5999,1000,700,800
6000,6000000,1953290100,1133196000,2831413600
6000,65536,897578700,30533000,280009800
6,15,8200,5000,6700
7000,1048576,1773384800,237160200,890065600
7000,16384,1161708600,11793500,323155000
7000,262144,1392154000,86884500,438325600
7000,4194304,2401361200,781306800,2199467800
7000,65536,1353888200,31922300,410691400
7000,6999,1900,800,1000
7000,7000000,2890584100,1729655200,3484627800
7,21,11400,7100,7800
8000,1048576,2203474000,287363700,924147600
8000,16384,1447138200,11559100,403954900
8000,262144,1850315300,69182000,560900500
8000,4194304,2859137200,1097032800,2404436900
8000,65536,1695930500,39129700,504457700
8000,7999,1400,800,700
8000,8000000,3444544600,1631950900,4220482300
9000,1048576,2535708600,236786100,1099445700
9000,16384,1765532100,13000100,471248300
9000,262144,2135409400,99079000,653439300
9000,4194304,3303962600,1052855300,2516716900
9000,65536,2081738000,35827300,601229900
9000,8999,3400,2800,500
9000,9000000,4204570500,2460685900,4883593100
21,29,648900,405800,236500
1053,2017,38861000,4041900,23234300
6,10,30700,36000,145300
10000,10000000,5278955600,2484100300,5640831700
10000,1048576,2777408600,281533900,1347684700
10000,16384,2099291600,14166800,592771500
10000,262144,2645272300,59775000,821948000
10000,4194304,3901512700,1223666700,2847073000
10000,65536,2543012400,38471200,750916700
10000,9999,1100,800,1000
1000,1024,14236000,1160100,5062800
1000,16384,25820000,8578100,14159000
1000,262144,80894100,108468500,79062200
1000,4096,19586900,2010500,6472500
1000,499500,76135100,87694700,184872000
1000,65536,42529500,24794500,43951500
1000,999,1100,900,800
11000,1048576,3347555600,250227200,1527093000
11000,10999,1100,900,800
11000,11000000,6169181100,2790908000,7199351300
11000,16384,2197271400,8313900,609985700
11000,262144,3178696500,82097000,943557000
11000,4194304,4362946700,1018945700,3052790800
11000,65536,3010320500,41530000,880182700
12000,1048576,4534032100,334090100,1768853300
12000,11999,1200,1300,1900
12000,12000000,6638066700,3356140300,7897217700
12000,16384,2801585400,13000300,754663700
12000,262144,3470979300,74637800,1088549700
12000,4194304,5066549700,1037297700,3435323500
12000,65536,3524482500,43294400,1010183200
13000,1048576,5940612600,330232900,2289747700
13000,12999,1500,1000,900
13000,13000000,9100950800,4837105200,10463076500
13000,16384,3470981500,13754900,1055113400
13000,262144,4759259200,76402300,1484552200
13000,4194304,6776880900,1286287200,3922280100
13000,65536,4679739100,45744300,1421602700
14000,1048576,6262025000,316488100,2173194100
14000,13999,1200,900,1000
14000,14000000,10289542000,14000,16384,3721979900,10200000,1095333700
14000,262144,5461773700,98581700,1650959000
14000,4194304,7134522600,948356900,4389941600
14000,65536,5276623700,42990000,1585403900
15000,1048576,6965474200,236361000,2426727900
15000,14999,1300,800,900
15000,16384,4826105900,13747100,1191944900
15000,262144,6304825500,106164900,1836950800
15000,4194304,8025890600,1144859800,4671726400
15000,65536,5950945800,47517100,1786990500
16000,1048576,8100541400,325881900,2653939800
16000,15999,1500,700,1200
